locationname,marketname,city,countrycode,address,zip,state,latitude,longitude,operator,status,timezone,url,open_day,open_month,open_year,other_date,playground,drivethru,format,in_mall
Greer,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",Greer,US,1379 W Wade Hampton Blvd,29650,SC,34.9390235,-82.2659172,Bill Tyler,OPEN,America/New_York,https://www.chick-fil-a.com/locations/sc/greer?utm_source=yext&utm_medium=link,14.0,5.0,1998.0,1998-05-01,none,True,Stand Alone,False
Duncan,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",Duncan,US,1519 E Main St,29334,SC,34.9113317,-82.1037278,"Thompson, Matthew (Matt)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/sc/duncan?utm_source=yext&utm_medium=link,12.0,4.0,2012.0,2012-04-12,none,True,Stand Alone,False
Cherrydale Point,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",Greenville,US,1544 Poinsett Hwy,29609,SC,34.88949,-82.40519,Steven Bryant,OPEN,America/New_York,https://www.chick-fil-a.com/locations/sc/cherrydale-point?utm_source=yext&utm_medium=link,15.0,3.0,2001.0,2001-03-14,interior,True,Stand Alone,False
Powdersville,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",Piedmont,US,3420 Highway 153,29673,SC,34.78785,-82.47941,Chad Saxon,OPEN,America/New_York,https://www.chick-fil-a.com/locations/sc/powdersville?utm_source=yext&utm_medium=link,8.0,1.0,2015.0,2015-01-08,none,True,Stand Alone,False
Furman University-Student Center,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",Greenville,US,3300 Poinsett Hwy,29613,SC,34.9247598,-82.4403988,"Bryant, Steven (Steven)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/sc/furman-university-student-center?utm_source=yext&utm_medium=link,30.0,5.0,1998.0,,none,False,,False
Travelers Rest,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",Travelers Rest,US,22 Benton Rd,29690,SC,34.9607957,-82.4336096,"Bryant, Steven (Steven)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/sc/travelers-rest?utm_source=yext&utm_medium=link,27.0,9.0,2017.0,2017-09-27,interior,True,Stand Alone,False
Easley,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",Easley,US,5175 Calhoun Memorial Hwy,29640,SC,34.8240378,-82.5582921,Chad Saxon,OPEN,America/New_York,https://www.chick-fil-a.com/locations/sc/easley?utm_source=yext&utm_medium=link,23.0,1.0,2020.0,2020-01-23,interior,True,Stand Alone,False
North Greenville University,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",Tigerville,US,7801 N Tigerville Rd,29688,SC,,,"Tyler, William (Bill)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/sc/north-greenville-university?utm_source=yext&utm_medium=link,15.0,8.0,2018.0,2018-08-17,none,False,,False
Clemson University - Hendrix Student Center,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",Clemson,US,Hendrix Student Ctr,29634,SC,34.676334,-82.83224,"Tyler, Herbert (Herb)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/sc/clemson-university-hendrix-student-center?utm_source=yext&utm_medium=link,1.0,11.0,2022.0,2022-11-01,none,False,Food Court,
Clemson,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",Clemson,US,1061 Tiger Blvd,29631,SC,34.6918572,-82.8375243,Herb Tyler,OPEN,America/New_York,https://www.chick-fil-a.com/locations/sc/clemson?utm_source=yext&utm_medium=link,23.0,7.0,2009.0,2009-07-23,none,True,Stand Alone,False
Clemson University,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",Clemson,US,201 Fernow Street,29631,SC,34.676655,-82.83806039999999,"Tyler, Herbert (Herb)",TEMPORARY_CLOSE,America/New_York,https://www.chick-fil-a.com/locations/sc/clemson-university?utm_source=yext&utm_medium=link,4.0,8.0,1992.0,1992-08-04,none,False,,False
Seneca,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",Seneca,US,1612 Sandifer Blvd,29678,SC,34.6900317,-82.9947233,Herb Tyler,OPEN,America/New_York,https://www.chick-fil-a.com/locations/sc/seneca?utm_source=yext&utm_medium=link,5.0,12.0,2002.0,2002-12-05,interior,True,Stand Alone,False
Lavonia [GA],"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",Lavonia,US,20 Owens Dr,30553,GA,34.4480885,-83.1295282,Will Lowe,TEMPORARY_CLOSE,America/New_York,https://www.chick-fil-a.com/locations/ga/lavonia-ga?utm_source=yext&utm_medium=link,12.0,7.0,2018.0,2018-07-12,interior,False,Stand Alone,False
Baylor University Student Union,"Waco-Temple-Bryan, TX",Waco,US,1311 S 5th St,76798,TX,31.5469111,-97.121151,"Roye, Jason (Jake)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/baylor-university-student-union?utm_source=yext&utm_medium=link,24.0,9.0,1994.0,1994-09-24,none,False,,False
Creekwood,"Tampa-St. Petersburg (Sarasota), FL",Bradenton,US,5206 73rd Ln E,34203,FL,27.44419,-82.46681,"Ith, Jonathan (Jonathan)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/fl/creekwood?utm_source=yext&utm_medium=link,24.0,5.0,2001.0,2001-05-24,none,True,Stand Alone,False
Manatee Ave & 43rd,"Tampa-St. Petersburg (Sarasota), FL",Bradenton,US,4311 Manatee Ave W,34209,FL,27.495504,-82.604549,"Hoeksema, Nathanael (Nathan)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/fl/manatee-ave-43rd?utm_source=yext&utm_medium=link,11.0,5.0,2023.0,2023-05-11,none,True,Stand Alone,
Kitchener,International,Kitchener,CA,200-225 Fairway Rd S,N2C 1X2,ON,43.4209098,-80.439804,"Efford, Olivia (Olivia)",OPEN,America/Toronto,https://www.chick-fil-a.ca/locations/on/kitchener?utm_source=yext&utm_medium=link,7.0,8.0,2021.0,2021-08-07,none,True,Stand Alone,False
Virginia Tech,"Roanoke-Lynchburg, VA",Blacksburg,US,200 Owens Hall,24061,VA,37.2268537,-80.4187129,"Miles, Shaine (Shaine)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/va/virginia-tech?utm_source=yext&utm_medium=link,25.0,8.0,1997.0,,none,False,,False
Christiansburg,"Roanoke-Lynchburg, VA",Christiansburg,US,2580 N Franklin St,24073,VA,37.165241,-80.424011,"Kuchan, Eric (Eric)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/va/christiansburg?utm_source=yext&utm_medium=link,20.0,9.0,2023.0,2023-09-20,none,True,Stand Alone,
Radford University,"Roanoke-Lynchburg, VA",Radford,US,Fairfax Street,24142,VA,37.136722,-80.5482404,"Childress, Bobby (Bob)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/va/radford-university?utm_source=yext&utm_medium=link,10.0,9.0,1996.0,1996-08-01,none,False,,False
Salem,"Roanoke-Lynchburg, VA",Salem,US,1353 W Main St,24153,VA,37.29009,-80.0788907,"Miles, Shaine (Shaine)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/va/salem?utm_source=yext&utm_medium=link,7.0,6.0,2012.0,2012-06-07,none,True,Stand Alone,False
Southern Hills Drive,"Roanoke-Lynchburg, VA",Roanoke,US,4110 Southern Hills Dr SW,24014,VA,37.226786,-79.9689799,Bob Childress,OPEN,America/New_York,https://www.chick-fil-a.com/locations/va/southern-hills-drive?utm_source=yext&utm_medium=link,1.0,5.0,2008.0,2008-05-01,none,True,Stand Alone,False
Valley View Mall,"Roanoke-Lynchburg, VA",Roanoke,US,4802 Valley View Blvd NW,24012,VA,37.303988,-79.964004,"Childress, Bobby (Bob)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/va/valley-view-mall?utm_source=yext&utm_medium=link,17.0,7.0,1985.0,2004-07-14,none,False,Food Court,True
Valley View Boulevard,"Roanoke-Lynchburg, VA",Roanoke,US,4805 Valley View Blvd NW,24012,VA,37.3032532,-79.9595244,"Childress, Bobby (Bob)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/va/valley-view-boulevard?utm_source=yext&utm_medium=link,27.0,7.0,2000.0,2000-07-20,interior,True,Stand Alone,False
Bonsack,"Roanoke-Lynchburg, VA",Roanoke,US,3814 Challenger Ave,24012,VA,37.31135,-79.88609,"Duffessy, Robert (Bob)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/va/bonsack?utm_source=yext&utm_medium=link,25.0,6.0,2015.0,2015-06-25,interior,True,Stand Alone,False
Princeton,"Bluefield-Beckley-Oak Hill, WV",Princeton,US,750 Oakvale Rd,24740,WV,37.3624742,-81.0572345,"Wade, Michael (Mike)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/wv/princeton?utm_source=yext&utm_medium=link,10.0,3.0,2016.0,2016-03-10,interior,True,Stand Alone,False
Mercer Mall,"Bluefield-Beckley-Oak Hill, WV",Bluefield,US,261 Mercer Mall Rd,24701,WV,37.2983576,-81.1682755,"Duffessy, Brandon (Brandon)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/wv/mercer-mall?utm_source=yext&utm_medium=link,14.0,4.0,1981.0,1981-04-14,none,False,Food Court,True
Beckley Galleria,"Bluefield-Beckley-Oak Hill, WV",Beckley,US,1300 N Eisenhower Dr,25801,WV,37.8016999,-81.1800301,"Jarrell, Richard (Richard)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/wv/beckley-galleria?utm_source=yext&utm_medium=link,24.0,8.0,2006.0,2006-08-24,none,True,Stand Alone,False
Mount Airy,"Greensboro-High Point-Winston Salem, NC",Mount Airy,US,2007 Rockford St,27030,NC,36.4811,-80.61452,Chad Tidd,OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/mount-airy?utm_source=yext&utm_medium=link,13.0,9.0,2012.0,2012-09-13,interior,True,Stand Alone,False
Harper Road,"Bluefield-Beckley-Oak Hill, WV",Beckley,US,100 Hylton Ln,25801,WV,37.7914979,-81.2127175,"Jarrell, Richard (Richard)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/wv/harper-road?utm_source=yext&utm_medium=link,28.0,11.0,2018.0,2018-11-28,interior,True,Stand Alone,False
Crossroads Mall (WV),"Bluefield-Beckley-Oak Hill, WV",Mount Hope,US,31 Crossroads Mall,25880,WV,37.845523,-81.19755099999999,"Jarrell, Richard (Richard)",TEMPORARY_CLOSE,America/New_York,https://www.chick-fil-a.com/locations/wv/crossroads-mall-wv?utm_source=yext&utm_medium=link,25.0,3.0,1981.0,1981-03-25,none,False,Food Court,True
Timberlake Road,"Roanoke-Lynchburg, VA",Lynchburg,US,21123 Timberlake Rd,24502,VA,37.3338533,-79.2441011,Dwayne Marshall,OPEN,America/New_York,https://www.chick-fil-a.com/locations/va/timberlake-road?utm_source=yext&utm_medium=link,1.0,6.0,2023.0,2023-06-01,none,True,Stand Alone,
N Lee Hwy [VA],"Roanoke-Lynchburg, VA",Lexington,US,25 Hotel Drive,24450,VA,,,"Bruner, Stephen (Stephen)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/va/n-lee-hwy-va?utm_source=yext&utm_medium=link,7.0,12.0,2023.0,2023-12-07,interior,True,Stand Alone,
Wards Road,"Roanoke-Lynchburg, VA",Lynchburg,US,4003 Wards Rd,24502,VA,37.3485815,-79.1854373,"Hall, Lee (Lee)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/va/wards-road?utm_source=yext&utm_medium=link,11.0,11.0,2004.0,2004-11-11,none,True,Stand Alone,False
Candlers Crossing,"Roanoke-Lynchburg, VA",Lynchburg,US,2305 Wards Rd,24502,VA,37.369509,-79.184077,Lee Hall,OPEN,America/New_York,https://www.chick-fil-a.com/locations/va/candlers-crossing?utm_source=yext&utm_medium=link,17.0,1.0,2022.0,2022-01-17,none,True,Stand Alone,
River Ridge Mall,"Roanoke-Lynchburg, VA",Lynchburg,US,3405 Candlers Mountain Rd Ste FC6,24502,VA,37.3646944,-79.1797982,"Hall, Lee (Lee)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/va/river-ridge-mall?utm_source=yext&utm_medium=link,24.0,9.0,1980.0,1980-09-24,none,False,Food Court,True
Liberty University - Tilley,"Roanoke-Lynchburg, VA",Lynchburg,US,1971 University Blvd,24502,VA,37.3579463,-79.173224,"Hall, Lee (Lee)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/va/liberty-university-tilley?utm_source=yext&utm_medium=link,16.0,8.0,2012.0,2012-08-02,none,False,,False
Elkin,"Greensboro-High Point-Winston Salem, NC",Elkin,US,541 Cc Camp Rd,28621,NC,36.2783584,-80.8345184,"Eller, Micah (Micah)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/elkin?utm_source=yext&utm_medium=link,19.0,9.0,2019.0,2019-09-19,interior,True,Stand Alone,False
Chicopee,"Springfield-Holyoke, MA",Chicopee,US,501 Memorial Dr,01020,MA,42.1712403,-72.5765332,Robert Hewes,OPEN,America/New_York,https://www.chick-fil-a.com/locations/ma/chicopee?utm_source=yext&utm_medium=link,20.0,2.0,2014.0,2014-02-20,interior,True,Stand Alone,False
Enfield,"Hartford & New Haven, CT",Enfield,US,25 Hazard Ave,06082,CT,41.991005,-72.57993809999999,Colby Webb,OPEN,America/New_York,https://www.chick-fil-a.com/locations/ct/enfield?utm_source=yext&utm_medium=link,26.0,2.0,2015.0,2015-02-26,interior,True,Stand Alone,False
West Hartford,"Hartford & New Haven, CT",West Hartford,US,509 New Park Ave,06110,CT,41.73467,-72.72269167,Daryl Jackson,OPEN,America/New_York,https://www.chick-fil-a.com/locations/ct/west-hartford?utm_source=yext&utm_medium=link,9.0,2.0,2017.0,2017-02-09,interior,True,Stand Alone,False
Buckland Hills (CT),"Hartford & New Haven, CT",Manchester,US,1428 Pleasant Valley Rd,06042,CT,41.8055854,-72.5589676,Alex Ottaway,OPEN,America/New_York,https://www.chick-fil-a.com/locations/ct/buckland-hills-ct?utm_source=yext&utm_medium=link,1.0,12.0,2021.0,2021-12-01,none,True,Stand Alone,False
Glastonbury,"Hartford & New Haven, CT",Glastonbury,US,2941 Main St,06033,CT,41.72369,-72.61603,Jordan Snook,OPEN,America/New_York,https://www.chick-fil-a.com/locations/ct/glastonbury?utm_source=yext&utm_medium=link,26.0,7.0,2018.0,2018-07-26,interior,True,Stand Alone,False
Newington,"Hartford & New Haven, CT",Newington,US,3240 Berlin Tpke,06111,CT,41.65975,-72.72261,Bobbi Stewart,OPEN,America/New_York,https://www.chick-fil-a.com/locations/ct/newington?utm_source=yext&utm_medium=link,14.0,3.0,2019.0,2019-03-14,interior,True,Stand Alone,False
Wallingford,"Hartford & New Haven, CT",Wallingford,US,1098 N Colony Rd,06492,CT,41.49652,-72.80892,Todd Langston,OPEN,America/New_York,https://www.chick-fil-a.com/locations/ct/wallingford?utm_source=yext&utm_medium=link,6.0,11.0,2014.0,2014-11-06,interior,True,Stand Alone,False
Worcester,"Boston, MA (Manchester, NH)",Worcester,US,80 Gold Star Blvd,01606,MA,42.28936833,-71.804745,Chris Spring,OPEN,America/New_York,https://www.chick-fil-a.com/locations/ma/worcester?utm_source=yext&utm_medium=link,26.0,10.0,2017.0,2017-10-26,interior,True,Stand Alone,False
Westborough,"Boston, MA (Manchester, NH)",Westborough,US,286 Turnpike Rd,01581,MA,42.28249433,-71.64543367,Mike Lawson,OPEN,America/New_York,https://www.chick-fil-a.com/locations/ma/westborough?utm_source=yext&utm_medium=link,25.0,9.0,2014.0,2014-09-25,interior,True,Stand Alone,False
Marlborough (MA),"Boston, MA (Manchester, NH)",Marlborough,US,36 Apex Dr,01752,MA,42.338318,-71.585696,Mike Lawson,OPEN,America/New_York,https://www.chick-fil-a.com/locations/ma/marlborough-ma?utm_source=yext&utm_medium=link,16.0,11.0,2017.0,2017-11-16,interior,True,Stand Alone,False
Somerset Plaza,"Boston, MA (Manchester, NH)",Nashua,US,377 Amherst St,03063,NH,42.78499799999999,-71.507813,"Piccola, Anthony (Anthony)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nh/somerset-plaza?utm_source=yext&utm_medium=link,30.0,10.0,2014.0,2014-10-30,interior,True,Stand Alone,False
Pheasant Lane Mall,"Boston, MA (Manchester, NH)",Nashua,US,310 Daniel Webster Hwy Ste 144,03060,NH,42.7009494,-71.4365769,"Piccola, Anthony (Anthony)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nh/pheasant-lane-mall?utm_source=yext&utm_medium=link,19.0,8.0,1999.0,1999-08-19,none,False,Food Court,True
Mohegan Sun Resort,"Hartford & New Haven, CT",Uncasville,US,1 Mohegan Sun Blvd,06382,CT,41.488423,-72.086688,"Scanlon, Devon (Devon)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/ct/mohegan-sun-resort?utm_source=yext&utm_medium=link,18.0,11.0,2016.0,2016-12-01,none,False,,False
Framingham,"Boston, MA (Manchester, NH)",Framingham,US,359 Cochituate Rd,01701,MA,42.304815,-71.396259,Mark Parker,OPEN,America/New_York,https://www.chick-fil-a.com/locations/ma/framingham?utm_source=yext&utm_medium=link,18.0,2.0,2016.0,2016-02-18,interior,True,Stand Alone,False
Tuscan Village (NH),"Boston, MA (Manchester, NH)",Salem,US,14 S Village Dr,03079,NH,42.7708161,-71.22333909999999,Grant Stoffel,OPEN,America/New_York,https://www.chick-fil-a.com/locations/nh/tuscan-village-nh?utm_source=yext&utm_medium=link,13.0,1.0,2022.0,2022-01-13,none,True,Stand Alone,False
Burlington Mall,"Boston, MA (Manchester, NH)",Burlington,US,75 Middlesex Turnpike,01803,MA,42.4827507,-71.2134191,"Mitchell, Daniel (Daniel)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/ma/burlington-mall?utm_source=yext&utm_medium=link,7.0,10.0,1999.0,1999-09-23,none,False,Food Court,True
Methuen,"Boston, MA (Manchester, NH)",Methuen,US,73 Pleasant Valley St,01844,MA,42.7414119,-71.1601228,Grant Stoffel,OPEN,America/New_York,https://www.chick-fil-a.com/locations/ma/methuen?utm_source=yext&utm_medium=link,29.0,11.0,2018.0,2018-11-29,interior,True,Stand Alone,False
Woburn,"Boston, MA (Manchester, NH)",Woburn,US,375 Washington St,01801,MA,42.5005798,-71.1245039,Mike Rose,OPEN,America/New_York,https://www.chick-fil-a.com/locations/ma/woburn?utm_source=yext&utm_medium=link,25.0,4.0,2019.0,2019-04-25,none,True,Stand Alone,False
Providence Delivery,"Providence, RI-New Bedford, MA",Providence,US,65 Bath St,02908,RI,41.8318958,-71.4244416,"Williams, Jonas (Jonas)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/ri/providence-delivery?utm_source=yext&utm_medium=link,3.0,12.0,2020.0,2020-12-03,none,False,Stand Alone,False
Attleboro,"Providence, RI-New Bedford, MA",South Attleboro,US,252 Washington St,02703,MA,41.9220491,-71.3571131,Chris Apple,OPEN,America/New_York,https://www.chick-fil-a.com/locations/ma/attleboro?utm_source=yext&utm_medium=link,22.0,3.0,2018.0,2018-03-22,none,True,Stand Alone,False
Dedham,"Boston, MA (Manchester, NH)",Dedham,US,140 Providence Hwy,02026,MA,42.259782,-71.168628,Chad Sargent,OPEN,America/New_York,https://www.chick-fil-a.com/locations/ma/dedham?utm_source=yext&utm_medium=link,5.0,10.0,2017.0,2017-10-05,interior,True,Stand Alone,False
Bald Hill Road,"Providence, RI-New Bedford, MA",Warwick,US,1500 Bald Hill Rd,02886,RI,41.696202,-71.497494,"Xiong, Toushoua (Toushoua)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/ri/bald-hill-road?utm_source=yext&utm_medium=link,4.0,9.0,2014.0,2014-09-04,interior,True,Stand Alone,False
Copley Square In-Line,"Boston, MA (Manchester, NH)",Boston,US,569 Boylston St,02116,MA,42.35064,-71.076448,"DeMichele-Rigoni, Matthew (Matt)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/ma/copley-square-in-line?utm_source=yext&utm_medium=link,5.0,1.0,2022.0,2022-01-05,none,False,In-Line,False
Greystone,"Birmingham (Anniston and Tuscaloosa), AL",Birmingham,US,5375 Highway 280,35242,AL,33.4196982,-86.6725284,Corey Braun,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/al/greystone?utm_source=yext&utm_medium=link,12.0,3.0,2015.0,2015-03-12,interior,True,Stand Alone,False
Inverness,"Birmingham (Anniston and Tuscaloosa), AL",Birmingham,US,4620 US 280 South,35242,AL,33.42774,-86.7082945,Mark Meadows,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/al/inverness?utm_source=yext&utm_medium=link,2.0,11.0,1989.0,1989-11-02,none,True,Stand Alone,False
Cahaba Heights,"Birmingham (Anniston and Tuscaloosa), AL",Vestavia,US,3949 Crosshaven Dr,35243,AL,33.461501,-86.7307809,Jerry Cotney,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/al/cahaba-heights?utm_source=yext&utm_medium=link,18.0,11.0,2021.0,2021-11-18,interior,True,Stand Alone,False
Vestavia Hills,"Birmingham (Anniston and Tuscaloosa), AL",Vestavia Hills,US,513 Montgomery Hwy,35216,AL,33.45034,-86.78773,Rodney Jackson,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/al/vestavia-hills?utm_source=yext&utm_medium=link,21.0,7.0,2016.0,2016-07-21,none,True,Stand Alone,False
Hoover Commons,"Birmingham (Anniston and Tuscaloosa), AL",Hoover,US,1609 Montgomery Hwy,35216,AL,33.39908,-86.8053808,"Jackson, David (David)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/al/hoover-commons?utm_source=yext&utm_medium=link,13.0,12.0,1990.0,,none,True,Stand Alone,False
Samford University,"Birmingham (Anniston and Tuscaloosa), AL",Birmingham,US,800 Lakeshore Dr,35229,AL,33.463355,-86.790223,"Cotney, Jerry (Jerry)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/al/samford-university?utm_source=yext&utm_medium=link,3.0,9.0,1994.0,1994-09-03,none,False,,False
Riverchase Galleria,"Birmingham (Anniston and Tuscaloosa), AL",Hoover,US,2000 Riverchase Galleria Ste 158B,35244,AL,33.3795836,-86.8088487,"Jackson, Morris (Morris)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/al/riverchase-galleria?utm_source=yext&utm_medium=link,19.0,2.0,1986.0,1986-02-19,none,False,Food Court,True
Eastwood Village,"Birmingham (Anniston and Tuscaloosa), AL",Irondale,US,1648 Montclair Rd,35210,AL,33.5265621,-86.7203913,Scott Powers,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/al/eastwood-village?utm_source=yext&utm_medium=link,24.0,1.0,2008.0,2008-01-24,none,True,Stand Alone,False
Patton Creek,"Birmingham (Anniston and Tuscaloosa), AL",Hoover,US,3020 John Hawkins Pkwy,35244,AL,33.3716843,-86.812792,"Jackson, David (David)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/al/patton-creek?utm_source=yext&utm_medium=link,17.0,9.0,2004.0,2004-09-16,none,True,Stand Alone,False
Oak Mountain,"Birmingham (Anniston and Tuscaloosa), AL",Pelham,US,320 Cahaba Valley Rd,35124,AL,33.33332383,-86.7857685,"Zouboukos, Constantine (Constantine)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/al/oak-mountain?utm_source=yext&utm_medium=link,4.0,9.0,1997.0,1997-09-04,interior,True,Stand Alone,False
Wildwood Centre,"Birmingham (Anniston and Tuscaloosa), AL",Homewood,US,211 Lakeshore Pkwy,35209,AL,33.4468742,-86.82349549999999,"Jackson, Rodney (Rodney)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/al/wildwood-centre?utm_source=yext&utm_medium=link,12.0,9.0,1991.0,1991-09-12,interior,True,Stand Alone,False
5 Points In-Line,"Birmingham (Anniston and Tuscaloosa), AL",Birmingham,US,2000 Highland Ave S,35205,AL,33.49998,-86.79544,Nathaniel Humphreville,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/al/5-points-in-line?utm_source=yext&utm_medium=link,8.0,9.0,2011.0,2011-09-08,interior,False,In-Line,False
University of Alabama Birmingham Hospital,"Birmingham (Anniston and Tuscaloosa), AL",Birmingham,US,625 19th St S,35233,AL,33.506018,-86.800941,"Schubert, Brian (Brian)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/al/university-of-alabama-birmingham-hospital?utm_source=yext&utm_medium=link,24.0,5.0,2021.0,2021-05-24,none,False,,False
Midtown Plaza In-Line,"Birmingham (Anniston and Tuscaloosa), AL",Birmingham,US,1913 5th Ave N,35203,AL,33.5175907,-86.80896659999999,"Mapoles, Eric (Eric)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/al/midtown-plaza-in-line?utm_source=yext&utm_medium=link,24.0,3.0,1994.0,1994-03-24,none,False,In-Line,False
Alabama Power,"Birmingham (Anniston and Tuscaloosa), AL",Birmingham,US,600 18th St N,35203,AL,33.5181,-86.81283,"Johnson, Bradley (Brad)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/al/alabama-power?utm_source=yext&utm_medium=link,10.0,1.0,1994.0,1994-01-10,none,False,,False
The Grove,"Birmingham (Anniston and Tuscaloosa), AL",Hoover,US,5658 Grove Blvd,35226,AL,33.3583747,-86.8544927,"Foster, Jeffrey (Jeffrey)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/al/the-grove?utm_source=yext&utm_medium=link,6.0,10.0,2016.0,2016-10-06,interior,True,Stand Alone,False
Birmingham-Shuttlesworth International Airport,"Birmingham (Anniston and Tuscaloosa), AL",Birmingham,US,5900 Messer Airport Hwy,35212,AL,33.563391,-86.75072200000001,"Johnson, Bradley (Brad)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/al/birmingham-shuttlesworth-international-airport?utm_source=yext&utm_medium=link,13.0,3.0,2013.0,2013-02-01,none,False,,False
Parkway East,"Birmingham (Anniston and Tuscaloosa), AL",Birmingham,US,9345 Parkway E,35215,AL,33.5907151,-86.6962492,"Nichols, Mark (Mark)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/al/parkway-east?utm_source=yext&utm_medium=link,17.0,1.0,1991.0,1991-01-17,interior,True,Stand Alone,False
Leeds,"Birmingham (Anniston and Tuscaloosa), AL",Leeds,US,1808 Ashville Rd,35094,AL,33.5616,-86.523147,"Robinson, C. (Scott)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/al/leeds?utm_source=yext&utm_medium=link,11.0,5.0,2006.0,2006-05-11,interior,True,Stand Alone,False
Helena (AL),"Birmingham (Anniston and Tuscaloosa), AL",Helena,US,2432 Helena Rd,35080,AL,33.2816405,-86.852097,"Nichols, Bradley (Brad)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/al/helena-al?utm_source=yext&utm_medium=link,8.0,4.0,2021.0,2021-04-08,interior,True,Stand Alone,False
Alabaster,"Birmingham (Anniston and Tuscaloosa), AL",Alabaster,US,125 Colonial Promenade Pkwy,35007,AL,33.2298736,-86.8036375,"Zouboukos, Constantine (Constantine)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/al/alabaster?utm_source=yext&utm_medium=link,27.0,10.0,2005.0,2005-10-27,none,True,Stand Alone,False
Fultondale,"Birmingham (Anniston and Tuscaloosa), AL",Fultondale,US,215 Howell St,35068,AL,33.6076806,-86.8066123,"Holmes, Thomas (Mike)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/al/fultondale?utm_source=yext&utm_medium=link,17.0,4.0,2008.0,2008-04-17,interior,True,Stand Alone,False
Trussville (AL),"Birmingham (Anniston and Tuscaloosa), AL",Birmingham,US,5886 Trussville Crossings Pkwy,35235,AL,33.6417587,-86.6261255,"Nichols, Mark (Mark)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/al/trussville-al?utm_source=yext&utm_medium=link,24.0,8.0,2000.0,2000-08-24,interior,True,Stand Alone,False
